code,kind,start,end,crosses_midnight,is_split,segment2_start,segment2_end,hours
h00,reusable,08:00,18:00,N,N,,,10
h01,reusable,08:00,20:00,N,N,,,12
h02,reusable,09:00,19:00,N,N,,,10
h03,reusable,10:00,20:00,N,N,,,10
h04,reusable,10:00,22:00,N,N,,,12
h05,reusable,12:00,23:30,N,N,,,11.5
h06,reusable,13:00,23:00,N,N,,,10
h07,reusable,13:00,00:00,Y,N,,,11
h08,reusable,14:00,00:00,Y,N,,,10
h09,reusable,15:00,02:00,Y,N,,,11
h10,reusable,16:00,02:00,Y,N,,,10
h11,reusable,09:00,14:00,Y,Y,19:00,00:00,10
h12,reusable,08:00,13:00,N,Y,18:00,22:00,9
h13,reusable,12:00,00:30,Y,N,,,12.5
x00,historical_one_off,09:00,14:00,Y,Y,20:00,00:00,9
x01,historical_one_off,06:00,00:30,Y,N,,,18.5
x02,historical_one_off,08:00,22:00,N,N,,,14
x03,historical_one_off,09:00,14:00,Y,Y,19:00,01:30,11.5
x04,historical_one_off,07:30,19:30,N,N,,,12
x05,historical_one_off,08:00,13:00,Y,Y,18:00,00:00,11
x06,historical_one_off,08:00,19:00,N,N,,,11
x07,historical_one_off,09:00,23:00,N,N,,,14
x08,historical_one_off,12:30,22:30,N,N,,,10
x09,historical_one_off,10:00,14:00,Y,Y,19:00,00:00,9
x10,historical_one_off,12:00,23:00,N,N,,,11
x11,historical_one_off,08:00,17:00,N,N,,,9
x12,historical_one_off,10:00,14:00,Y,Y,18:00,00:00,10
x13,historical_one_off,10:00,15:00,N,N,,,5
x14,historical_one_off,13:30,22:30,N,N,,,9
x15,historical_one_off,09:30,22:30,N,N,,,13
x16,historical_one_off,09:00,18:00,N,N,,,9
x17,historical_one_off,13:30,23:30,N,N,,,10
x18,historical_one_off,11:00,21:00,N,N,,,10
x19,historical_one_off,15:30,22:30,N,N,,,7
x20,historical_one_off,15:00,23:00,N,N,,,8
x21,historical_one_off,09:00,16:00,N,N,,,7
x22,historical_one_off,10:00,12:00,N,Y,18:00,23:00,7
x23,historical_one_off,08:00,13:00,N,Y,19:00,23:00,9
x24,historical_one_off,10:00,17:00,N,N,,,7
x25,historical_one_off,12:00,00:00,Y,N,,,12
x26,historical_one_off,16:00,23:00,N,N,,,7
x27,historical_one_off,08:00,13:00,N,Y,19:00,21:00,7
x28,historical_one_off,08:00,23:00,N,N,,,15
x29,historical_one_off,14:00,20:00,N,N,,,6
x30,historical_one_off,11:00,23:00,N,N,,,12
x31,historical_one_off,09:00,20:00,N,N,,,11
x32,historical_one_off,08:00,14:00,N,Y,19:00,23:00,10
x33,historical_one_off,09:00,21:00,N,N,,,12
x34,historical_one_off,08:00,14:00,Y,Y,19:00,00:00,11
x35,historical_one_off,09:00,14:00,N,Y,19:00,23:00,9
x36,historical_one_off,14:30,22:30,N,N,,,8
x37,historical_one_off,15:00,00:00,Y,N,,,9
x38,historical_one_off,10:00,19:00,N,N,,,9
x39,historical_one_off,11:00,22:00,N,N,,,11
x40,historical_one_off,10:00,00:00,Y,N,,,14
x41,historical_one_off,09:00,13:00,Y,Y,19:00,00:00,9
x42,historical_one_off,14:30,23:30,N,N,,,9
x43,historical_one_off,06:00,00:00,Y,N,,,18
